subject	session	task	run	n_samples	missing_samples	missing_pct	interpolated_samples	interpolated_pct	missing_reason	loss_rate	loss_event_count	loss_gap_len_mean	loss_gap_len_median	loss_gap_len_std	loss_gap_len_cv	loss_gap_len_p90	loss_gap_len_max	contig_run_len_mean	contig_run_len_std	contig_run_len_cv
sub-monkeyb	ses-day64	listening	run-01	491477	2471	0.50	2471	0.50	occasional packet loss due to varying wireless conditions	0.005028	1388	1.780	2.000	0.506	0.284	2.000	4	352.056	345.981	0.983
sub-monkeyb	ses-day64	listening	run-02	492075	1632	0.33	1632	0.33	occasional packet loss due to varying wireless conditions	0.003317	948	1.722	2.000	0.520	0.302	2.000	4	516.800	528.015	1.022
sub-monkeyb	ses-day64	listening	run-03	496695	6802	1.37	6802	1.37	occasional packet loss due to varying wireless conditions	0.013695	3259	2.087	2.000	3.324	1.592	2.000	168	150.274	183.801	1.223
sub-monkeyb	ses-day64	listening	run-04	576559	3975	0.69	3975	0.69	occasional packet loss due to varying wireless conditions	0.006894	2161	1.839	2.000	0.530	0.288	2.000	8	264.840	274.569	1.037
sub-monkeyb	ses-day64	rest	run-01	238765	690	0.29	690	0.29	occasional packet loss due to varying wireless conditions	0.002890	403	1.712	2.000	0.654	0.382	2.000	4	589.295	589.939	1.001
sub-monkeyb	ses-day66	rest	run-01	180949	1644	0.91	1644	0.91	occasional packet loss due to varying wireless conditions	0.009085	876	1.877	2.000	0.377	0.201	2.000	4	204.453	217.356	1.063
sub-monkeyb	ses-day71	rest	run-01	182041	1271	0.70	1271	0.70	occasional packet loss due to varying wireless conditions	0.006982	693	1.834	2.000	0.405	0.221	2.000	4	260.476	256.081	0.983
sub-monkeyb	ses-day71	reaching	run-01	319161	6335	1.98	6335	1.98	occasional packet loss due to varying wireless conditions	0.019849	3043	2.082	2.000	1.938	0.931	2.000	76	102.768	214.271	2.085
sub-monkeyb	ses-day73	rest	run-01	186397	709	0.38	709	0.38	occasional packet loss due to varying wireless conditions	0.003804	403	1.759	2.000	0.637	0.362	2.000	6	459.624	454.649	0.989
sub-monkeyb	ses-day73	rest	run-02	181566	1065	0.59	1065	0.59	occasional packet loss due to varying wireless conditions	0.005866	569	1.872	2.000	0.842	0.450	2.000	18	316.668	308.884	0.975
sub-monkeyb	ses-day76	rest	run-01	261255	1252	0.48	1252	0.48	occasional packet loss due to varying wireless conditions	0.004792	662	1.891	2.000	1.696	0.897	2.000	40	392.161	386.058	0.984
sub-monkeyb	ses-day80	rest	run-01	193809	1100	0.57	1100	0.57	occasional packet loss due to varying wireless conditions	0.005676	613	1.794	2.000	0.461	0.257	2.000	6	313.858	388.430	1.238
sub-monkeyb	ses-day80	listening	run-01	250213	950	0.38	950	0.38	occasional packet loss due to varying wireless conditions	0.003797	545	1.743	2.000	1.305	0.749	2.000	30	456.526	454.536	0.996
sub-monkeyb	ses-day80	listening	run-02	252047	3342	1.33	3342	1.33	occasional packet loss due to varying wireless conditions	0.013259	1526	2.190	2.000	3.785	1.728	2.000	102	162.872	207.812	1.276
sub-monkeyb	ses-day80	listening	run-03	250461	1699	0.68	1699	0.68	occasional packet loss due to varying wireless conditions	0.006783	925	1.837	2.000	0.378	0.206	2.000	4	268.641	247.675	0.922
sub-monkeyb	ses-day80	listening	run-04	248825	1060	0.43	1060	0.43	occasional packet loss due to varying wireless conditions	0.004260	604	1.755	2.000	0.474	0.270	2.000	4	409.529	411.926	1.006
sub-monkeyb	ses-day80	listening	run-05	245029	3386	1.38	3386	1.38	occasional packet loss due to varying wireless conditions	0.013819	1589	2.131	2.000	0.825	0.387	2.000	8	151.977	297.116	1.955
sub-monkeyb	ses-day80	listening	run-06	256313	1666	0.65	1666	0.65	occasional packet loss due to varying wireless conditions	0.006500	910	1.831	2.000	0.528	0.289	2.000	4	279.525	394.709	1.412
sub-monkeyb	ses-day83	rest	run-01	484205	1683	0.35	1683	0.35	occasional packet loss due to varying wireless conditions	0.003476	961	1.751	2.000	0.603	0.344	2.000	6	501.582	576.034	1.148
sub-monkeyb	ses-day83	listening	run-01	483749	3415	0.71	3415	0.71	occasional packet loss due to varying wireless conditions	0.007059	1729	1.975	2.000	2.371	1.200	2.000	82	277.650	397.407	1.431
sub-monkeyb	ses-day83	listening	run-02	493763	3745	0.76	3745	0.76	occasional packet loss due to varying wireless conditions	0.007585	1990	1.882	2.000	0.460	0.244	2.000	4	246.117	363.581	1.477
sub-monkeyb	ses-day83	listening	run-03	513017	3419	0.67	3419	0.67	occasional packet loss due to varying wireless conditions	0.006664	1759	1.944	2.000	3.768	1.939	2.000	158	289.544	356.539	1.231
sub-monkeyb	ses-day83	listening	run-04	543406	6743	1.24	6743	1.24	occasional packet loss due to varying wireless conditions	0.012409	3260	2.068	2.000	4.338	2.097	2.000	246	164.570	318.821	1.937
sub-monkeyb	ses-day85	rest	run-01	252473	744	0.29	744	0.29	occasional packet loss due to varying wireless conditions	0.002947	468	1.590	2.000	0.492	0.309	2.000	2	536.736	469.188	0.874
sub-monkeyb	ses-day87	rest	run-01	185165	723	0.39	723	0.39	occasional packet loss due to varying wireless conditions	0.003905	416	1.738	2.000	0.461	0.265	2.000	4	442.307	389.640	0.881
sub-monkeyb	ses-day92	rest	run-01	227015	2226	0.98	2226	0.98	occasional packet loss due to varying wireless conditions	0.009806	1196	1.861	2.000	0.360	0.193	2.000	4	187.794	264.359	1.408
sub-monkeyb	ses-day92	listening	run-01	471379	2318	0.49	2318	0.49	occasional packet loss due to varying wireless conditions	0.004917	1304	1.778	2.000	0.551	0.310	2.000	4	359.434	445.117	1.238
sub-monkeyb	ses-day92	listening	run-02	524433	3419	0.65	3419	0.65	occasional packet loss due to varying wireless conditions	0.006519	1899	1.800	2.000	0.448	0.249	2.000	4	274.218	286.643	1.045
sub-monkeyb	ses-day92	listening	run-03	456667	3419	0.75	3419	0.75	occasional packet loss due to varying wireless conditions	0.007487	1859	1.839	2.000	0.434	0.236	2.000	6	243.682	247.065	1.014
sub-monkeyb	ses-day92	listening	run-04	520723	18690	3.59	18690	3.59	occasional packet loss due to varying wireless conditions	0.035892	8839	2.114	2.000	3.902	1.845	2.000	262	56.791	149.574	2.634
sub-monkeyb	ses-day94	rest	run-01	185262	663	0.36	663	0.36	occasional packet loss due to varying wireless conditions	0.003579	391	1.696	2.000	0.460	0.271	2.000	2	470.916	413.797	0.879
sub-monkeyb	ses-day97	rest	run-01	282449	1252	0.44	1252	0.44	occasional packet loss due to varying wireless conditions	0.004433	699	1.791	2.000	0.518	0.289	2.000	4	401.710	523.852	1.304
sub-monkeyb	ses-day97	listening	run-01	529631	4494	0.85	4494	0.85	occasional packet loss due to varying wireless conditions	0.008485	2371	1.895	2.000	0.457	0.241	2.000	6	221.390	230.112	1.039
sub-monkeyb	ses-day97	listening	run-02	372515	4138	1.11	4138	1.11	occasional packet loss due to varying wireless conditions	0.011108	1479	2.798	2.000	34.788	12.434	2.000	1340	248.903	255.065	1.025
sub-monkeyb	ses-day97	listening	run-03	482037	1626	0.34	1626	0.34	occasional packet loss due to varying wireless conditions	0.003373	961	1.692	2.000	0.616	0.364	2.000	6	499.388	576.625	1.155
sub-monkeyb	ses-day97	listening	run-04	495841	3280	0.66	3280	0.66	occasional packet loss due to varying wireless conditions	0.006615	1748	1.876	2.000	0.480	0.256	2.000	4	281.624	302.443	1.074
sub-monkeyb	ses-day99	rest	run-01	180811	1417	0.78	1417	0.78	occasional packet loss due to varying wireless conditions	0.007837	522	2.715	2.000	4.367	1.609	4.000	52	343.010	431.129	1.257
sub-monkeyb	ses-day99	sep	run-01	74533	305	0.41	305	0.41	occasional packet loss due to varying wireless conditions	0.004092	175	1.743	2.000	0.475	0.272	2.000	4	421.750	455.185	1.079
sub-monkeyb	ses-day99	sep	run-02	67301	374	0.56	374	0.56	occasional packet loss due to varying wireless conditions	0.005557	208	1.798	2.000	0.498	0.277	2.000	4	320.225	345.858	1.080
sub-monkeyb	ses-day99	sep	run-03	61151	350	0.57	350	0.57	occasional packet loss due to varying wireless conditions	0.005724	193	1.813	2.000	0.428	0.236	2.000	4	313.407	363.897	1.161
sub-monkeyb	ses-day104	rest	run-01	187299	1425	0.76	1425	0.76	occasional packet loss due to varying wireless conditions	0.007608	780	1.827	2.000	0.435	0.238	2.000	4	237.995	245.715	1.032
sub-monkeyb	ses-day104	listening	run-01	485947	2630	0.54	2630	0.54	occasional packet loss due to varying wireless conditions	0.005412	1476	1.782	2.000	0.506	0.284	2.000	4	327.229	356.636	1.090
sub-monkeyb	ses-day104	listening	run-02	469909	2993	0.64	2993	0.64	occasional packet loss due to varying wireless conditions	0.006369	1660	1.803	2.000	0.442	0.245	2.000	4	281.105	315.370	1.122
sub-monkeyb	ses-day104	listening	run-03	525831	6327	1.20	6327	1.20	occasional packet loss due to varying wireless conditions	0.012032	3268	1.936	2.000	0.387	0.200	2.000	4	158.918	183.377	1.154
sub-monkeyb	ses-day104	listening	run-04	540907	3014	0.56	3014	0.56	occasional packet loss due to varying wireless conditions	0.005572	1668	1.807	2.000	0.542	0.300	2.000	4	322.285	418.571	1.299
sub-monkeyb	ses-day107	rest	run-01	196687	701	0.36	701	0.36	occasional packet loss due to varying wireless conditions	0.003564	420	1.669	2.000	0.541	0.324	2.000	4	465.525	401.715	0.863
sub-monkeyb	ses-day111	rest	run-01	208029	1043	0.50	1043	0.50	occasional packet loss due to varying wireless conditions	0.005014	578	1.804	2.000	0.490	0.272	2.000	4	357.489	348.145	0.974
sub-monkeyb	ses-day111	listening	run-01	469049	2632	0.56	2632	0.56	occasional packet loss due to varying wireless conditions	0.005611	1432	1.838	2.000	0.630	0.343	2.000	8	325.483	384.075	1.180
sub-monkeyb	ses-day111	listening	run-02	478010	3392	0.71	3392	0.71	occasional packet loss due to varying wireless conditions	0.007096	1854	1.830	2.000	0.463	0.253	2.000	6	255.859	254.706	0.995
sub-monkeyb	ses-day111	listening	run-03	475777	2007	0.42	2007	0.42	occasional packet loss due to varying wireless conditions	0.004218	1166	1.721	2.000	0.499	0.290	2.000	4	405.973	409.818	1.009
sub-monkeyb	ses-day111	listening	run-04	467941	1371	0.29	1371	0.29	occasional packet loss due to varying wireless conditions	0.002930	785	1.746	2.000	0.997	0.571	2.000	16	593.601	594.334	1.001
sub-monkeyb	ses-day113	rest	run-01	181283	798	0.44	798	0.44	occasional packet loss due to varying wireless conditions	0.004402	455	1.754	2.000	0.488	0.278	2.000	4	395.800	378.294	0.956
sub-monkeyb	ses-day118	rest	run-01	214359	1581	0.74	1581	0.74	occasional packet loss due to varying wireless conditions	0.007375	841	1.880	2.000	0.471	0.251	2.000	6	252.705	298.686	1.182
sub-monkeyb	ses-day118	listening	run-01	500693	1147	0.23	1147	0.23	occasional packet loss due to varying wireless conditions	0.002291	725	1.582	2.000	0.847	0.536	2.000	18	688.080	646.726	0.940
sub-monkeyb	ses-day118	listening	run-02	456975	2491	0.55	2491	0.55	occasional packet loss due to varying wireless conditions	0.005451	1291	1.930	2.000	1.636	0.848	2.000	50	351.768	384.872	1.094
sub-monkeyb	ses-day118	listening	run-03	549775	1280	0.23	1280	0.23	occasional packet loss due to varying wireless conditions	0.002328	760	1.684	2.000	2.065	1.226	2.000	46	720.756	672.167	0.933
sub-monkeyb	ses-day118	listening	run-04	460680	2640	0.57	2640	0.57	occasional packet loss due to varying wireless conditions	0.005731	1423	1.855	2.000	0.532	0.287	2.000	4	321.657	336.785	1.047
sub-monkeyb	ses-day120	rest	run-01	209799	486	0.23	486	0.23	occasional packet loss due to varying wireless conditions	0.002317	319	1.524	2.000	0.559	0.367	2.000	4	654.103	558.647	0.854
sub-monkeyb	ses-day125	rest	run-01	393591	2413	0.61	2413	0.61	occasional packet loss due to varying wireless conditions	0.006131	1337	1.805	2.000	0.498	0.276	2.000	6	292.360	290.740	0.994
sub-monkeyb	ses-day125	listening	run-01	479047	1498	0.31	1498	0.31	occasional packet loss due to varying wireless conditions	0.003127	873	1.716	2.000	0.614	0.358	2.000	4	546.395	626.122	1.146
sub-monkeyb	ses-day125	listening	run-02	466415	1361	0.29	1361	0.29	occasional packet loss due to varying wireless conditions	0.002918	814	1.672	2.000	0.556	0.332	2.000	4	570.618	526.769	0.923
sub-monkeyb	ses-day125	listening	run-03	459937	2384	0.52	2384	0.52	occasional packet loss due to varying wireless conditions	0.005183	1344	1.774	2.000	0.473	0.267	2.000	6	340.188	339.666	0.998
sub-monkeyb	ses-day125	listening	run-04	472426	1955	0.41	1955	0.41	occasional packet loss due to varying wireless conditions	0.004138	1143	1.710	2.000	0.482	0.282	2.000	4	411.251	412.442	1.003
sub-monkeyb	ses-day127	rest	run-01	200939	1029	0.51	1029	0.51	occasional packet loss due to varying wireless conditions	0.005121	578	1.780	2.000	0.566	0.318	2.000	4	345.268	331.726	0.961
sub-monkeyb	ses-day132	rest	run-01	194521	793	0.41	793	0.41	occasional packet loss due to varying wireless conditions	0.004077	449	1.766	2.000	0.675	0.382	2.000	6	430.507	423.947	0.985
sub-monkeyb	ses-day132	listening	run-01	459159	4644	1.01	4644	1.01	occasional packet loss due to varying wireless conditions	0.010114	2430	1.911	2.000	0.373	0.195	2.000	4	186.966	293.148	1.568
sub-monkeyb	ses-day132	listening	run-02	458437	2582	0.56	2582	0.56	occasional packet loss due to varying wireless conditions	0.005632	1421	1.817	2.000	0.436	0.240	2.000	4	320.573	341.039	1.064
sub-monkeyb	ses-day132	listening	run-03	464513	1667	0.36	1667	0.36	occasional packet loss due to varying wireless conditions	0.003589	960	1.736	2.000	0.537	0.309	2.000	4	481.630	458.759	0.953
sub-monkeyb	ses-day132	listening	run-04	460439	2732	0.59	2732	0.59	occasional packet loss due to varying wireless conditions	0.005933	1499	1.823	2.000	0.428	0.235	2.000	4	305.138	301.751	0.989
sub-monkeyb	ses-day134	rest	run-01	181447	3746	2.06	3746	2.06	occasional packet loss due to varying wireless conditions	0.020645	1903	1.968	2.000	0.402	0.204	2.000	8	93.330	205.746	2.204
sub-monkeyb	ses-day134	rest	run-02	121201	1276	1.05	1276	1.05	occasional packet loss due to varying wireless conditions	0.010528	680	1.876	2.000	0.405	0.216	2.000	6	176.101	146.432	0.832
sub-monkeyb	ses-day134	rest	run-03	20449	1497	7.32	1497	7.32	occasional packet loss due to varying wireless conditions	0.073207	647	2.314	2.000	1.884	0.814	2.000	16	29.247	70.071	2.396
sub-monkeyb	ses-day134	sep	run-01	127241	1489	1.17	1489	1.17	occasional packet loss due to varying wireless conditions	0.011702	736	2.023	2.000	0.628	0.311	2.000	6	170.627	216.486	1.269
sub-monkeyb	ses-day134	sep	run-02	81297	387	0.48	387	0.48	occasional packet loss due to varying wireless conditions	0.004760	211	1.834	2.000	0.657	0.358	2.000	6	381.651	479.891	1.257
sub-monkeyb	ses-day140	rest	run-01	216389	644	0.30	644	0.30	occasional packet loss due to varying wireless conditions	0.002976	388	1.660	2.000	0.490	0.295	2.000	4	554.614	614.875	1.109
sub-monkeyb	ses-day140	listening	run-01	554619	2737	0.49	2737	0.49	occasional packet loss due to varying wireless conditions	0.004935	1499	1.826	2.000	0.774	0.424	2.000	22	367.921	457.094	1.242
sub-monkeyb	ses-day140	listening	run-02	483711	2887	0.60	2887	0.60	occasional packet loss due to varying wireless conditions	0.005968	1554	1.858	2.000	0.648	0.349	2.000	12	309.212	366.804	1.186
sub-monkeyb	ses-day140	listening	run-03	476137	4339	0.91	4339	0.91	occasional packet loss due to varying wireless conditions	0.009113	2029	2.138	2.000	7.148	3.342	2.000	318	232.413	336.592	1.448
sub-monkeyb	ses-day140	listening	run-04	467123	2013	0.43	2013	0.43	occasional packet loss due to varying wireless conditions	0.004309	1146	1.757	2.000	0.481	0.274	2.000	4	405.501	382.174	0.942
sub-monkeyb	ses-day141	rest	run-01	216715	1620	0.75	1620	0.75	occasional packet loss due to varying wireless conditions	0.007475	870	1.862	2.000	0.493	0.265	2.000	6	246.952	319.920	1.295
sub-monkeyb	ses-day147	rest	run-01	228405	1337	0.59	1337	0.59	occasional packet loss due to varying wireless conditions	0.005854	713	1.875	2.000	0.573	0.305	2.000	6	318.022	440.518	1.385
sub-monkeyb	ses-day147	listening	run-01	469800	1316	0.28	1316	0.28	occasional packet loss due to varying wireless conditions	0.002801	766	1.718	2.000	0.734	0.427	2.000	6	610.801	667.743	1.093
sub-monkeyb	ses-day147	listening	run-02	482770	2039	0.42	2039	0.42	occasional packet loss due to varying wireless conditions	0.004224	1152	1.770	2.000	0.510	0.288	2.000	4	416.939	416.889	1.000
sub-monkeyb	ses-day147	listening	run-03	466029	1719	0.37	1719	0.37	occasional packet loss due to varying wireless conditions	0.003689	978	1.758	2.000	0.568	0.323	2.000	6	474.270	525.760	1.109
sub-monkeyb	ses-day147	listening	run-04	484135	1253	0.26	1253	0.26	occasional packet loss due to varying wireless conditions	0.002588	804	1.558	2.000	0.526	0.337	2.000	4	599.853	581.065	0.969
sub-monkeyb	ses-day149	rest	run-01	238217	765	0.32	765	0.32	occasional packet loss due to varying wireless conditions	0.003211	426	1.796	2.000	0.727	0.405	2.000	4	556.094	533.468	0.959
sub-monkeyb	ses-day154	rest	run-01	218363	734	0.34	734	0.34	occasional packet loss due to varying wireless conditions	0.003361	443	1.657	2.000	0.502	0.303	2.000	4	490.155	458.088	0.935
sub-monkeyb	ses-day154	listening	run-01	463695	2761	0.60	2761	0.60	occasional packet loss due to varying wireless conditions	0.005954	1506	1.833	2.000	0.754	0.412	2.000	26	305.862	296.587	0.970
sub-monkeyb	ses-day154	listening	run-02	460829	1976	0.43	1976	0.43	occasional packet loss due to varying wireless conditions	0.004288	1147	1.723	2.000	0.595	0.345	2.000	12	399.698	389.510	0.975
sub-monkeyb	ses-day154	listening	run-03	494195	3043	0.62	3043	0.62	occasional packet loss due to varying wireless conditions	0.006157	1624	1.874	2.000	0.533	0.284	2.000	6	302.247	450.589	1.491
sub-monkeyb	ses-day154	listening	run-04	474375	1662	0.35	1662	0.35	occasional packet loss due to varying wireless conditions	0.003504	955	1.740	2.000	0.600	0.345	2.000	6	494.470	467.793	0.946
sub-monkeyb	ses-day155	rest	run-01	185713	1081	0.58	1081	0.58	occasional packet loss due to varying wireless conditions	0.005821	581	1.861	2.000	0.497	0.267	2.000	6	317.237	332.336	1.048
sub-monkeyb	ses-day161	rest	run-01	181853	1738	0.96	1738	0.96	occasional packet loss due to varying wireless conditions	0.009557	884	1.966	2.000	0.589	0.300	2.000	8	203.520	210.929	1.036
sub-monkeyb	ses-day161	rest	run-02	200247	582	0.29	582	0.29	occasional packet loss due to varying wireless conditions	0.002906	347	1.677	2.000	0.621	0.370	2.000	6	573.750	528.307	0.921
sub-monkeyb	ses-day161	pressing	run-01	1515384	28756	1.90	28756	1.90	occasional packet loss due to varying wireless conditions	0.018976	11577	2.484	2.000	2.175	0.876	4.000	78	128.401	227.870	1.775
